"Name","Live Bytes","Live Objects"
"org.springframework.http.MediaType","6,816 B (0%)","213 (0%)"
"java.lang.CharSequence[]","6,728 B (0%)","228 (0%)"
"org.springframework.util.LinkedCaseInsensitiveMap$1","6,720 B (0%)","105 (0%)"
"java.util.WeakHashMap","6,624 B (0%)","138 (0%)"
"sun.reflect.generics.tree.FieldTypeSignature[]","6,456 B (0%)","297 (0%)"
"antlr.ANTLRHashString","6,432 B (0%)","201 (0%)"
"org.h2.expression.function.FunctionInfo","6,400 B (0%)","200 (0%)"
"javax.management.ImmutableDescriptor","6,384 B (0%)","266 (0%)"
"java.util.concurrent.ConcurrentHashMap$TreeNode","6,288 B (0%)","131 (0%)"
"org.apache.tomcat.util.buf.ByteChunk","6,288 B (0%)","131 (0%)"
"org.h2.value.Value[]","6,216 B (0%)","63 (0%)"
"java.lang.Short","6,160 B (0%)","385 (0%)"
"java.security.AccessControlContext","6,160 B (0%)","154 (0%)"
"java.lang.annotation.Annotation[]","6,136 B (0%)","305 (0%)"
"org.apache.logging.log4j.message.DefaultFlowMessageFactory","6,096 B (0%)","254 (0%)"
"java.beans.MethodRef","6,096 B (0%)","254 (0%)"
"org.springframework.core.annotation.AnnotationTypeMappings[]","6,064 B (0%)","225 (0%)"
"org.springframework.core.annotation.MergedAnnotation[]","6,032 B (0%)","224 (0%)"
"java.lang.Character","6,032 B (0%)","377 (0%)"
"org.jboss.logging.Log4j2Logger","6,024 B (0%)","251 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue$Node","6,000 B (0%)","250 (0%)"
"java.nio.HeapCharBuffer","6,000 B (0%)","125 (0%)"
"org.springframework.beans.MutablePropertyValues","5,976 B (0%)","249 (0%)"
"java.lang.invoke.MethodHandle[]","5,952 B (0%)","96 (0%)"
"java.security.ProtectionDomain[]","5,912 B (0%)","239 (0%)"
"org.apache.tomcat.util.buf.CharChunk","5,904 B (0%)","123 (0%)"
"org.apache.tomcat.util.buf.MessageBytes","5,856 B (0%)","122 (0%)"
"java.util.ImmutableCollections$Set12","5,688 B (0%)","237 (0%)"
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider","5,600 B (0%)","175 (0%)"
"java.lang.PublicMethods$MethodList","5,568 B (0%)","232 (0%)"
"com.sun.jmx.mbeanserver.ConvertingMethod","5,568 B (0%)","174 (0%)"
"java.security.Permissions","5,536 B (0%)","173 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter","5,536 B (0%)","173 (0%)"
"org.thymeleaf.standard.processor.StandardRemovableAttributeTagProcessor","5,432 B (0%)","97 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry[]","5,384 B (0%)","128 (0%)"
"org.springframework.core.annotation.MergedAnnotationsCollection","5,376 B (0%)","224 (0%)"
"jdk.internal.loader.AbstractClassLoaderValue$Sub","5,352 B (0%)","223 (0%)"
"java.util.LinkedHashMap$LinkedEntryIterator","5,312 B (0%)","166 (0%)"
"java.util.logging.LogManager$LogNode","5,312 B (0%)","166 (0%)"
"com.fasterxml.jackson.databind.type.ClassKey","5,280 B (0%)","220 (0%)"
"org.springframework.data.util.Lazy","5,160 B (0%)","215 (0%)"
"org.hibernate.engine.jdbc.spi.TypeInfo","5,152 B (0%)","92 (0%)"
"java.io.FileCleanable","4,872 B (0%)","87 (0%)"
"sun.nio.fs.WindowsFileAttributes","4,864 B (0%)","76 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage","4,864 B (0%)","304 (0%)"
"java.util.zip.ZipFile$Source","4,864 B (0%)","76 (0%)"
"java.util.jar.JarFile","4,864 B (0%)","76 (0%)"
"javax.management.Attribute","4,824 B (0%)","201 (0%)"
"org.springframework.core.type.classreading.SimpleAnnotationMetadata","4,816 B (0%)","86 (0%)"
"java.net.URI","4,800 B (0%)","60 (0%)"
"java.util.Collections$SingletonList","4,800 B (0%)","200 (0%)"
"org.thymeleaf.engine.HTMLElementName","4,760 B (0%)","119 (0%)"
"java.util.logging.Logger","4,760 B (0%)","85 (0%)"
"java.util.Collections$UnmodifiableRandomAccessList","4,728 B (0%)","197 (0%)"
"java.io.File","4,672 B (0%)","146 (0%)"
"java.lang.reflect.Constructor[]","4,624 B (0%)","225 (0%)"
"org.apache.tomcat.util.threads.TaskThread","4,608 B (0%)","12 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$Segment","4,608 B (0%)","96 (0%)"
"java.lang.module.ModuleDescriptor$Requires","4,608 B (0%)","144 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet[]","4,544 B (0%)","171 (0%)"
"java.util.Arrays$ArrayList","4,512 B (0%)","188 (0%)"
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source","4,512 B (0%)","141 (0%)"
"org.springframework.core.type.classreading.SimpleMethodMetadata","4,512 B (0%)","141 (0%)"
"java.lang.Character$UnicodeBlock","4,496 B (0%)","281 (0%)"
"java.io.FileDescriptor","4,480 B (0%)","112 (0%)"
"java.math.BigInteger","4,440 B (0%)","111 (0%)"
"com.fasterxml.jackson.databind.introspect.AnnotatedMethod","4,320 B (0%)","108 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName","4,320 B (0%)","180 (0%)"
"javax.management.MBeanPermission","4,240 B (0%)","106 (0%)"
"org.springframework.boot.web.server.MimeMappings$Mapping","4,224 B (0%)","176 (0%)"
"org.springframework.boot.context.properties.source.PropertyMapping","4,224 B (0%)","176 (0%)"
"org.springframework.util.LinkedCaseInsensitiveMap","4,200 B (0%)","105 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","4,144 B (0%)","27 (0%)"
"java.lang.Byte","4,096 B (0%)","256 (0%)"
"java.lang.reflect.Parameter[]","4,096 B (0%)","159 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes","4,080 B (0%)","255 (0%)"
"org.springframework.core.annotation.TypeMappedAnnotations","4,080 B (0%)","102 (0%)"
"org.springframework.core.convert.TypeDescriptor","4,056 B (0%)","169 (0%)"
"org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter","4,056 B (0%)","169 (0%)"
"org.apache.logging.log4j.message.ParameterizedMessageFactory","4,048 B (0%)","253 (0%)"
"org.apache.logging.log4j.message.MessageFormatMessageFactory","4,016 B (0%)","251 (0%)"
"org.thymeleaf.engine.Attribute[]","4,008 B (0%)","155 (0%)"
